_ID,_VALUE,ArtifactLv:int[],ZenyConsume:int[],Item1:id[],Number1:int[],Item2:id[],Number2:int[],Item3:id[],Number3:int[],Item4:id[],Number4:int[],Item5:id[],Number5:int[],Model:string[]
,,1,15000000,None,0,None,0,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_5,6,ITEM_ARTIFACT_MATERIAL_BASIC_1,18,ITEM_ARTIFACT_MATERIAL_BASIC_2,18,Helm_Of_Sun
,,2,18000000,None,0,None,0,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_5,6,ITEM_ARTIFACT_MATERIAL_BASIC_1,18,ITEM_ARTIFACT_MATERIAL_BASIC_2,18,Helm_Of_Sun
,,3,21000000,None,0,None,0,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_5,6,ITEM_ARTIFACT_MATERIAL_BASIC_1,18,ITEM_ARTIFACT_MATERIAL_BASIC_2,18,Helm_Of_Sun
,,4,24000000,None,0,None,0,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_5,6,ITEM_ARTIFACT_MATERIAL_BASIC_1,18,ITEM_ARTIFACT_MATERIAL_BASIC_2,18,Helm_Of_Sun
,,5,30000000,None,0,None,0,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_5,12,ITEM_ARTIFACT_MATERIAL_BASIC_1,36,ITEM_ARTIFACT_MATERIAL_BASIC_2,36,Helm_Of_Sun_Evolve_1
,,6,36000000,None,0,None,0,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_5,18,ITEM_ARTIFACT_MATERIAL_BASIC_1,54,ITEM_ARTIFACT_MATERIAL_BASIC_2,54,Helm_Of_Sun_Evolve_1
,,7,42000000,None,0,None,0,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_5,24,ITEM_ARTIFACT_MATERIAL_BASIC_1,72,ITEM_ARTIFACT_MATERIAL_BASIC_2,72,Helm_Of_Sun_Evolve_1
,,8,48000000,None,0,None,0,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_5,30,ITEM_ARTIFACT_MATERIAL_BASIC_1,90,ITEM_ARTIFACT_MATERIAL_BASIC_2,90,Helm_Of_Sun_Evolve_1
,,9,54000000,None,0,None,0,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_5,42,ITEM_ARTIFACT_MATERIAL_BASIC_1,126,ITEM_ARTIFACT_MATERIAL_BASIC_2,126,Helm_Of_Sun_Evolve_1
,,10,60000000,None,0,None,0,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_5,54,ITEM_ARTIFACT_MATERIAL_BASIC_1,162,ITEM_ARTIFACT_MATERIAL_BASIC_2,162,Helm_Of_Sun_Evolve_2
,,11,18000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,3,None,0,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_5,19,ITEM_ARTIFACT_MATERIAL_BASIC_1,54,ITEM_ARTIFACT_MATERIAL_BASIC_2,54,Helm_Of_Sun_Evolve_2
,,12,24000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,3,None,0,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_5,19,ITEM_ARTIFACT_MATERIAL_BASIC_1,54,ITEM_ARTIFACT_MATERIAL_BASIC_2,54,Helm_Of_Sun_Evolve_2
,,13,30000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,5,None,0,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_5,25,ITEM_ARTIFACT_MATERIAL_BASIC_1,72,ITEM_ARTIFACT_MATERIAL_BASIC_2,72,Helm_Of_Sun_Evolve_2
,,14,36000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,5,None,0,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_5,25,ITEM_ARTIFACT_MATERIAL_BASIC_1,72,ITEM_ARTIFACT_MATERIAL_BASIC_2,72,Helm_Of_Sun_Evolve_2
,,15,42000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,7,None,0,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_5,38,ITEM_ARTIFACT_MATERIAL_BASIC_1,108,ITEM_ARTIFACT_MATERIAL_BASIC_2,108,Helm_Of_Sun_Evolve_2
,,16,48000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,10,None,0,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_5,50,ITEM_ARTIFACT_MATERIAL_BASIC_1,144,ITEM_ARTIFACT_MATERIAL_BASIC_2,144,Helm_Of_Sun_Evolve_2
,,17,54000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,10,None,0,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_5,50,ITEM_ARTIFACT_MATERIAL_BASIC_1,144,ITEM_ARTIFACT_MATERIAL_BASIC_2,144,Helm_Of_Sun_Evolve_2
,,18,60000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,12,None,0,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_5,63,ITEM_ARTIFACT_MATERIAL_BASIC_1,180,ITEM_ARTIFACT_MATERIAL_BASIC_2,180,Helm_Of_Sun_Evolve_2
,,19,66000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,12,None,0,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_5,63,ITEM_ARTIFACT_MATERIAL_BASIC_1,180,ITEM_ARTIFACT_MATERIAL_BASIC_2,180,Helm_Of_Sun_Evolve_2
,,20,72000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,18,None,0,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_5,95,ITEM_ARTIFACT_MATERIAL_BASIC_1,270,ITEM_ARTIFACT_MATERIAL_BASIC_2,270,Helm_Of_Sun_Evolve_2
