_ID,_VALUE,LibType:string[],#LibComment:string,Reward:id[],LibSecond:int,LibNum:int[],Weight:int[],Follow:id[],FollowRate:int[]
DUNGEON_LIB_EFFECTLIB_ABILITY_017,20018,Effect,（普通第10层BOSS）战斗中敌人物理伤害提升,DUNGEON_EFFECT_ABILITY_015,3,1,10,None,0
,,Effect,战斗中敌人魔法伤害提升100,DUNGEON_EFFECT_ABILITY_016,,1,10,None,0
,,Effect,描述：战斗中MVP受到的行动限制效果的持续时间降低50%,DUNGEON_EFFECT_ABILITY_020,,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ABILITY_INFERNAL_001,20019,Effect,（地狱第5层BOSS）每4回合扣玩家血,DUNGEON_EFFECT_ABILITY_001,2,1,10,None,0
,,Effect,描述：战斗中MVP受到的行动限制效果的持续时间降低50%,DUNGEON_EFFECT_ABILITY_020,,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ABILITY_INFERNAL_002,20020,Effect,提高在场其他怪物的物理攻击,DUNGEON_EFFECT_ABILITY_005,2,1,10,None,0
,,Effect,提高在场其他怪物的魔法攻击,DUNGEON_EFFECT_ABILITY_024,,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ABILITY_INFERNAL_003,20021,Effect,降低在场其他怪物的物理防御,DUNGEON_EFFECT_ABILITY_006,2,1,10,None,0
,,Effect,降低在场其他怪物的魔法防御,DUNGEON_EFFECT_ABILITY_028,,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ABILITY_INFERNAL_004,20022,Effect,（地狱第10层BOSS）战斗中敌人物理伤害提升,DUNGEON_EFFECT_ABILITY_015,3,1,10,None,0
,,Effect,战斗中敌人魔法伤害提升100,DUNGEON_EFFECT_ABILITY_016,,1,10,None,0
,,Effect,描述：战斗中MVP受到的行动限制效果的持续时间降低50%,DUNGEON_EFFECT_ABILITY_021,,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ABILITY_INFERNAL_005,20023,Effect,战斗中敌人物理伤害提升,DUNGEON_EFFECT_ABILITY_017,2,1,10,None,0
,,Effect,战斗中敌人魔法伤害提升,DUNGEON_EFFECT_ABILITY_018,,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ABILITY_INFERNAL_006,20024,Effect,（地狱第15层BOSS1）死亡后同伴物理攻击提升,DUNGEON_EFFECT_ABILITY_INFERNAL_ADD_007,2,1,10,None,0
,,Effect,战斗中MVP控制时间减免99%、免疫所有减益效果,DUNGEON_EFFECT_ABILITY_023,,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ABILITY_INFERNAL_007,20025,Effect,（地狱第15层BOSS2）死亡后同伴物理防御提升,DUNGEON_EFFECT_ABILITY_INFERNAL_ADD_008,2,1,10,None,0
,,Effect,战斗中MVP控制时间减免99%、免疫所有减益效果,DUNGEON_EFFECT_ABILITY_023,,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ABILITY_INFERNAL_008,20026,Effect,（地狱第15层BOSS3）死亡后同伴魔法攻击提升,DUNGEON_EFFECT_ABILITY_INFERNAL_ADD_009,2,1,10,None,0
,,Effect,战斗中MVP控制时间减免99%、免疫所有减益效果,DUNGEON_EFFECT_ABILITY_023,,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ABILITY_INFERNAL_009,20027,Effect,（地狱第15层BOSS4）死亡后同伴魔法防御提升,DUNGEON_EFFECT_ABILITY_INFERNAL_ADD_010,2,1,10,None,0
,,Effect,战斗中MVP控制时间减免99%、免疫所有减益效果,DUNGEON_EFFECT_ABILITY_023,,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ABILITY_INFERNAL_010,20028,Effect,（地狱第20层BOSS1）每3回合扣玩家血,DUNGEON_EFFECT_ABILITY_INFERNAL_026,5,1,10,None,0
,,Effect,战斗中敌人物理伤害提升200,DUNGEON_EFFECT_ABILITY_INFERNAL_20_017,,1,10,None,0
,,Effect,战斗中敌人魔法伤害提升200,DUNGEON_EFFECT_ABILITY_INFERNAL_20_018,,1,10,None,0
,,Effect,战斗中MVP控制时间减免99%、免疫所有减益效果,DUNGEON_EFFECT_ABILITY_023,,1,10,None,0
,,Effect,技能伤害提升50%,DUNGEON_EFFECT_ABILITY_019,,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ABILITY_INFERNAL_011,20029,Effect,（地狱第20层BOSS2）每3回合治疗伙伴5%血,DUNGEON_EFFECT_ABILITY_INFERNAL_027,5,1,10,None,0
,,Effect,战斗中敌人物理伤害提升200,DUNGEON_EFFECT_ABILITY_INFERNAL_20_017,,1,10,None,0
,,Effect,战斗中敌人魔法伤害提升200,DUNGEON_EFFECT_ABILITY_INFERNAL_20_018,,1,10,None,0
,,Effect,战斗中MVP控制时间减免99%、免疫所有减益效果,DUNGEON_EFFECT_ABILITY_023,,1,10,None,0
,,Effect,技能伤害提升50%,DUNGEON_EFFECT_ABILITY_019,,1,10,None,0
DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_001,20030,Effect,沙漠5层-每X回合扣玩家血,DUNGEON_DAMAGE_EFFECT_ABILITY_001,1,1,10,None,0
DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_002,20031,Effect,沙漠10层-同伴死亡自己造成伤害增加,DUNGEON_DAMAGE_EFFECT_ABILITY_ADD_002,1,1,10,None,0
DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_003,20032,Effect,沙漠10层-死亡后伙伴物理受伤减免下降,DUNGEON_DAMAGE_EFFECT_ABILITY_ADD_003,1,1,10,None,0
DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_004,20033,Effect,沙漠10层-死亡后伙伴魔法受伤减免下降,DUNGEON_DAMAGE_EFFECT_ABILITY_ADD_004,1,1,10,None,0
DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_005,20034,Effect,沙漠15层-BOSS死亡后会秒杀1个单位对BOSS也生效,DUNGEON_DAMAGE_EFFECT_ABILITY_005,1,1,10,None,0
DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_006,20035,Effect,沙漠20层-死亡后伙伴物理受伤减免下降,DUNGEON_DAMAGE_EFFECT_ABILITY_ADD_006,1,1,10,None,0
DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_007,20036,Effect,沙漠20层-死亡后伙伴物理受伤减免提升,DUNGEON_DAMAGE_EFFECT_ABILITY_ADD_007,1,1,10,None,0
DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_008,20037,Effect,沙漠20层-死亡后伙伴魔法受伤减免下降,DUNGEON_DAMAGE_EFFECT_ABILITY_ADD_008,1,1,10,None,0
DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_009,20038,Effect,沙漠20层-死亡后伙伴魔法受伤减免提升,DUNGEON_DAMAGE_EFFECT_ABILITY_ADD_009,1,1,10,None,0
DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_010,20039,Effect,沙漠20层-在场伙伴造成伤害增加,DUNGEON_DAMAGE_EFFECT_ABILITY_ADD_010,1,1,10,None,0
DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_BOSS_001,20040,Effect,（沙漠普通第5层BOSS）每X回合扣玩家血,DUNGEON_DAMAGE_EFFECT_ABILITY_001,2,1,10,None,0
,,Effect,描述：战斗中MVP受到的行动限制效果的持续时间降低50%,DUNGEON_EFFECT_ABILITY_020,,1,10,None,0
DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_BOSS_002,20041,Effect,（沙漠普通第10层BOSS）同伴死亡自己造成伤害增加,DUNGEON_DAMAGE_EFFECT_ABILITY_ADD_002,2,1,10,None,0
,,Effect,描述：战斗中MVP受到的行动限制效果的持续时间降低50%,DUNGEON_EFFECT_ABILITY_020,,1,10,None,0
DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_BOSS_003,20042,Effect,（沙漠普通第15层BOSS1）死亡后会秒杀1个单位对BOSS也生效,DUNGEON_DAMAGE_EFFECT_ABILITY_005,2,1,10,None,0
,,Effect,战斗中MVP控制时间减免50%、免疫所有减益效果,DUNGEON_EFFECT_ABILITY_022,,1,10,None,0
DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_BOSS_004,20043,Effect,（沙漠普通第15层BOSS2）死亡后会秒杀1个单位对BOSS也生效,DUNGEON_DAMAGE_EFFECT_ABILITY_005,2,1,10,None,0
,,Effect,战斗中MVP控制时间减免50%、免疫所有减益效果,DUNGEON_EFFECT_ABILITY_022,,1,10,None,0
DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_BOSS_005,20044,Effect,（沙漠普通第20层BOSS）在场伙伴造成伤害增加,DUNGEON_DAMAGE_EFFECT_ABILITY_ADD_010,7,1,10,None,0
,,Effect,沙之领主:免疫减益效果，受到的行动限制效果的持续时间降低99%，普通攻击会造成溅射伤害,DUNGEON_DAMAGE_EFFECT_ABILITY_011,,1,10,None,0
,,Effect,禁魔绷带:减少受到魔法伤害一段时间，期间火属性单位持续攻击可烧毁绷带，并提高其受到的魔法伤害一段时间,DUNGEON_DAMAGE_EFFECT_ABILITY_012,,1,10,None,0
,,Effect,流沙之躯:减少受到物理伤害一段时间，期间水属性单位持续攻击可清楚流沙，并提高其受到的物理伤害一段时间,DUNGEON_DAMAGE_EFFECT_ABILITY_013,,1,10,None,0
,,Effect,砂石吐息:对前方喷射砂石，攻击并石化敌人,DUNGEON_DAMAGE_EFFECT_ABILITY_014,,1,10,None,0
,,Effect,召唤木乃伊:战斗中会不断召唤和同伴共享生命的木乃伊,DUNGEON_DAMAGE_EFFECT_ABILITY_015,,1,10,None,0
,,Effect,化身沙暴:召唤沙暴，协助自身和木乃伊攻击所有敌人,DUNGEON_DAMAGE_EFFECT_ABILITY_016,,1,10,None,0
DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_INFERNAL_BOSS_001,20045,Effect,（沙漠地狱第5层BOSS）每X回合扣玩家血,DUNGEON_DAMAGE_EFFECT_ABILITY_001,2,1,10,None,0
,,Effect,描述：战斗中MVP受到的行动限制效果的持续时间降低50%,DUNGEON_EFFECT_ABILITY_020,,1,10,None,0
DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_INFERNAL_BOSS_002,20046,Effect,（沙漠地狱第10层BOSS）同伴死亡自己造成伤害增加,DUNGEON_DAMAGE_EFFECT_ABILITY_ADD_002,2,1,10,None,0
,,Effect,描述：战斗中MVP受到的行动限制效果的持续时间降低50%,DUNGEON_EFFECT_ABILITY_020,,1,10,None,0
DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_INFERNAL_BOSS_003,20047,Effect,（沙漠地狱第15层BOSS1）死亡后会秒杀1个单位对BOSS也生效,DUNGEON_DAMAGE_EFFECT_ABILITY_005,2,1,10,None,0
,,Effect,战斗中MVP控制时间减免99%、免疫所有减益效果,DUNGEON_EFFECT_ABILITY_023,,1,10,None,0
DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_INFERNAL_BOSS_004,20048,Effect,（沙漠地狱第15层BOSS2）死亡后会秒杀1个单位对BOSS也生效,DUNGEON_DAMAGE_EFFECT_ABILITY_005,2,1,10,None,0
,,Effect,战斗中MVP控制时间减免99%、免疫所有减益效果,DUNGEON_EFFECT_ABILITY_023,,1,10,None,0
DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_INFERNAL_BOSS_005,20049,Effect,（沙漠地狱第20层BOSS）在场伙伴造成伤害增加,DUNGEON_DAMAGE_EFFECT_ABILITY_ADD_010,7,1,10,None,0
,,Effect,沙之领主:免疫减益效果，受到的行动限制效果的持续时间降低99%，普通攻击会造成溅射伤害,DUNGEON_DAMAGE_EFFECT_ABILITY_011,,1,10,None,0
,,Effect,禁魔绷带:减少受到魔法伤害一段时间，期间火属性单位持续攻击可烧毁绷带，并提高其受到的魔法伤害一段时间,DUNGEON_DAMAGE_EFFECT_ABILITY_012,,1,10,None,0
,,Effect,流沙之躯:减少受到物理伤害一段时间，期间水属性单位持续攻击可清楚流沙，并提高其受到的物理伤害一段时间,DUNGEON_DAMAGE_EFFECT_ABILITY_013,,1,10,None,0
,,Effect,砂石吐息:对前方喷射砂石，攻击并石化敌人,DUNGEON_DAMAGE_EFFECT_ABILITY_014,,1,10,None,0
,,Effect,召唤木乃伊:战斗中会不断召唤和同伴共享生命的木乃伊,DUNGEON_DAMAGE_EFFECT_ABILITY_015,,1,10,None,0
,,Effect,化身沙暴:召唤沙暴，协助自身和木乃伊攻击所有敌人,DUNGEON_DAMAGE_EFFECT_ABILITY_016,,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_001,30033,Effect,战斗中技能恢复变慢,DUNGEON_EFFECT_EVENT_NEGATIVE_DECLINE_SKILL_RECOVERY_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_002,30034,Effect,战斗中SP点获取变慢,DUNGEON_EFFECT_EVENT_NEGATIVE_DECLINE_SP_OBTAIN_DECLINE_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_003,30035,Effect,战斗中物理攻击下降,DUNGEON_EFFECT_EVENT_NEGATIVE_DECLINE_ATK_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_004,30036,Effect,战斗中魔法攻击下降,DUNGEON_EFFECT_EVENT_NEGATIVE_DECLINE_MATK_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_005,30037,Effect,战斗中物理防御下降,DUNGEON_EFFECT_EVENT_NEGATIVE_DECLINE_DEF_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_006,30038,Effect,战斗中魔法防御下降,DUNGEON_EFFECT_EVENT_NEGATIVE_DECLINE_MDEF_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_007,30039,Effect,战斗中物理伤害下降,DUNGEON_EFFECT_EVENT_NEGATIVE_DECLINE_PHYSDMG_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_008,30040,Effect,战斗中魔法伤害下降,DUNGEON_EFFECT_EVENT_NEGATIVE_DECLINE_MAGICDMG_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_009,30041,Effect,战斗中物理减伤下降,DUNGEON_EFFECT_EVENT_NEGATIVE_DECLINE_INCOMINGPHYSDMGREDUCE_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_010,30042,Effect,战斗中魔法减伤下降,DUNGEON_EFFECT_EVENT_NEGATIVE_DECLINE_INCOMINGMAGICDMGREDUCE_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_011,30043,Effect,战斗中受到伤害增加,DUNGEON_EFFECT_EVENT_NEGATIVE_DECLINE_INCOMINGDMGREDUCE_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_012,30044,Effect,战斗中暴击率下降,DUNGEON_EFFECT_EVENT_NEGATIVE_DECLINE_CRT_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_013,30045,Effect,战斗中暴击伤害下降,DUNGEON_EFFECT_EVENT_NEGATIVE_DECLINE_CRTDMG_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_014,30046,Effect,战斗中治疗效果下降,DUNGEON_EFFECT_EVENT_NEGATIVE_DECLINE_HEALINGEFFECT_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_015,30047,Effect,战斗中技能伤害下降,DUNGEON_EFFECT_EVENT_NEGATIVE_DECLINE_SKILLDMG_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_016,30048,Effect,战斗中敌人物理攻击提升,DUNGEON_EFFECT_EVENT_NEGATIVE_UP_ATK_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_017,30049,Effect,战斗中敌人魔法攻击提升,DUNGEON_EFFECT_EVENT_NEGATIVE_UP_MATK_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_018,30050,Effect,战斗中敌人物理防御提升,DUNGEON_EFFECT_EVENT_NEGATIVE_UP_DEF_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_019,30051,Effect,战斗中敌人魔法防御提升,DUNGEON_EFFECT_EVENT_NEGATIVE_UP_MDEF_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_020,30052,Effect,战斗中敌人物理伤害提升,DUNGEON_EFFECT_EVENT_NEGATIVE_UP_PHYSDMG_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_021,30053,Effect,战斗中敌人魔法伤害提升,DUNGEON_EFFECT_EVENT_NEGATIVE_UP_MAGICDMG_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_022,30054,Effect,战斗中敌人物理减伤提升,DUNGEON_EFFECT_EVENT_NEGATIVE_UP_INCOMINGPHYSDMGREDUCE_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_023,30055,Effect,战斗中敌人魔法减伤提升,DUNGEON_EFFECT_EVENT_NEGATIVE_UP_INCOMINGMAGICDMGREDUCE_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_024,30056,Effect,战斗中敌人受到伤害减少,DUNGEON_EFFECT_EVENT_NEGATIVE_UP_INCOMINGDMGREDUCE_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_025,30057,Effect,战斗中敌人暴击率提升,DUNGEON_EFFECT_EVENT_NEGATIVE_UP_CRT_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_026,30058,Effect,战斗中敌人暴击伤害提升,DUNGEON_EFFECT_EVENT_NEGATIVE_UP_CRTDMG_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_027,30059,Effect,战斗中敌人治疗效果提升,DUNGEON_EFFECT_EVENT_NEGATIVE_UP_HEALINGEFFECT_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_028,30060,Effect,战斗中敌人技能伤害提升,DUNGEON_EFFECT_EVENT_NEGATIVE_UP_SKILLDMG_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_029,30061,Effect,战斗中敌人技能恢复变慢,DUNGEON_EFFECT_EVENT_POSITIVE_DECLINE_SKILL_RECOVERY_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_030,30062,Effect,战斗中敌人SP点获取变慢,DUNGEON_EFFECT_EVENT_POSITIVE_DECLINE_SP_OBTAIN_DECLINE_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_031,30063,Effect,战斗中敌人物理攻击下降,DUNGEON_EFFECT_EVENT_POSITIVE_DECLINE_ATK_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_032,30064,Effect,战斗中敌人魔法攻击下降,DUNGEON_EFFECT_EVENT_POSITIVE_DECLINE_MATK_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_033,30065,Effect,战斗中敌人物理防御下降,DUNGEON_EFFECT_EVENT_POSITIVE_DECLINE_DEF_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_034,30066,Effect,战斗中敌人魔法防御下降,DUNGEON_EFFECT_EVENT_POSITIVE_DECLINE_MDEF_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_035,30067,Effect,战斗中敌人物理伤害下降,DUNGEON_EFFECT_EVENT_POSITIVE_DECLINE_PHYSDMG_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_036,30068,Effect,战斗中敌人魔法伤害下降,DUNGEON_EFFECT_EVENT_POSITIVE_DECLINE_MAGICDMG_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_037,30069,Effect,战斗中敌人物理减伤下降,DUNGEON_EFFECT_EVENT_POSITIVE_DECLINE_INCOMINGPHYSDMGREDUCE_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_038,30070,Effect,战斗中敌人魔法减伤下降,DUNGEON_EFFECT_EVENT_POSITIVE_DECLINE_INCOMINGMAGICDMGREDUCE_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_039,30071,Effect,战斗中敌人受到伤害增加,DUNGEON_EFFECT_EVENT_POSITIVE_DECLINE_INCOMINGDMGREDUCE_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_040,30072,Effect,战斗中敌人暴击率下降,DUNGEON_EFFECT_EVENT_POSITIVE_DECLINE_CRT_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_041,30073,Effect,战斗中敌人暴击伤害下降,DUNGEON_EFFECT_EVENT_POSITIVE_DECLINE_CRTDMG_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_042,30074,Effect,战斗中敌人治疗效果下降,DUNGEON_EFFECT_EVENT_POSITIVE_DECLINE_HEALINGEFFECT_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_043,30075,Effect,战斗中敌人技能伤害下降,DUNGEON_EFFECT_EVENT_POSITIVE_DECLINE_SKILLDMG_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_044,30076,Effect,战斗中物理攻击提升,DUNGEON_EFFECT_EVENT_POSITIVE_UP_ATK_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_045,30077,Effect,战斗中魔法攻击提升,DUNGEON_EFFECT_EVENT_POSITIVE_UP_MATK_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_046,30078,Effect,战斗中物理防御提升,DUNGEON_EFFECT_EVENT_POSITIVE_UP_DEF_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_047,30079,Effect,战斗中魔法防御提升,DUNGEON_EFFECT_EVENT_POSITIVE_UP_MDEF_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_048,30080,Effect,战斗中物理伤害提升,DUNGEON_EFFECT_EVENT_POSITIVE_UP_PHYSDMG_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_049,30081,Effect,战斗中魔法伤害提升,DUNGEON_EFFECT_EVENT_POSITIVE_UP_MAGICDMG_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_050,30082,Effect,战斗中物理减伤提升,DUNGEON_EFFECT_EVENT_POSITIVE_UP_INCOMINGPHYSDMGREDUCE_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_051,30083,Effect,战斗中魔法减伤提升,DUNGEON_EFFECT_EVENT_POSITIVE_UP_INCOMINGMAGICDMGREDUCE_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_052,30084,Effect,战斗中受到伤害减少,DUNGEON_EFFECT_EVENT_POSITIVE_UP_INCOMINGDMGREDUCE_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_053,30085,Effect,战斗中暴击率提升,DUNGEON_EFFECT_EVENT_POSITIVE_UP_CRT_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_054,30086,Effect,战斗中暴击伤害提升,DUNGEON_EFFECT_EVENT_POSITIVE_UP_CRTDMG_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_055,30087,Effect,战斗中治疗效果提升,DUNGEON_EFFECT_EVENT_POSITIVE_UP_HEALINGEFFECT_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_056,30088,Effect,战斗中技能伤害提升,DUNGEON_EFFECT_EVENT_POSITIVE_UP_SKILLDMG_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_END_001,30089,Effect,剪刀克布提高,DUNGEON_EFFECT_POSTWAR_SCISSORS_RESTRAINT_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_END_002,30090,Effect,剪刀克布提高,DUNGEON_EFFECT_POSTWAR_SCISSORS_RESTRAINT_2,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_END_003,30091,Effect,布克石头提高,DUNGEON_EFFECT_POSTWAR_CLOTH_RESTRAINT_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_END_004,30092,Effect,布克石头提高,DUNGEON_EFFECT_POSTWAR_CLOTH_RESTRAINT_2,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_END_005,30093,Effect,石头克剪刀提高,DUNGEON_EFFECT_POSTWAR_STONE_RESTRAINT_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_END_006,30094,Effect,石头克剪刀提高,DUNGEON_EFFECT_POSTWAR_STONE_RESTRAINT_2,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_END_007,30095,Effect,所有相克提高,DUNGEON_EFFECT_POSTWAR_ALL_RESTRAINT_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_END_008,30096,Effect,所有相克提高,DUNGEON_EFFECT_POSTWAR_ALL_RESTRAINT_2,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_END_009,30097,Effect,全体治疗效果提高,DUNGEON_EFFECT_POSTWAR_ALL_TREATMENT_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_END_010,30098,Effect,全体治疗效果提高,DUNGEON_EFFECT_POSTWAR_ALL_TREATMENT_2,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_END_011,30099,Effect,全体物理防御和魔法防御提高,DUNGEON_EFFECT_POSTWAR_ALL_MDEF_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_END_012,30100,Effect,全体物理防御和魔法防御提高,DUNGEON_EFFECT_POSTWAR_ALL_MDEF_2,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_END_013,30101,Effect,剪刀阵营物攻和魔攻提高,DUNGEON_EFFECT_POSTWAR_SCISSORS_ATK_MATK_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_END_014,30102,Effect,剪刀阵营物攻和魔攻提高,DUNGEON_EFFECT_POSTWAR_SCISSORS_ATK_MATK_2,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_END_015,30103,Effect,布阵营物攻和魔攻提高,DUNGEON_EFFECT_POSTWAR_CLOTH_ATK_MATK_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_END_016,30104,Effect,布阵营物攻和魔攻提高,DUNGEON_EFFECT_POSTWAR_CLOTH_ATK_MATK_2,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_END_017,30105,Effect,石头阵营物攻和魔攻提高,DUNGEON_EFFECT_POSTWAR_STONE_ATK_MATK_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_END_018,30106,Effect,石头阵营物攻和魔攻提高,DUNGEON_EFFECT_POSTWAR_STONE_ATK_MATK_2,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_BATTLE_END_019,30107,Effect,黑阵营物攻和魔攻提高,DUNGEON_EFFECT_POSTWAR_BLACK_ATK_MATK_1,1,1,10,None,0
