_ID,_VALUE,#ManualTips:string,ManualMapInfo:string[][],PortalEventLib:id[],PortalLayer:int[],PortalTarget:id[],ManualEnemyMonsterLib:id[],ManualEnemySpecialEffectLib:id[],ManualEnemyMVP:bool[],ManualKeyInfo:int[],ManualItemLib:id[],ManualEventLib:id[],ManualDefaultOpenInfo:string[][],ManualEnemyMonsterNum:int[],ManualEnemyMonsterNumMVP:int[],MonsterAttrLevel:int[],MonsterStar:int[],MonsterHpRate:int[],MonsterAttackRate:int[],ScrollStar:int[],ScrollHpRate:int[],ScrollAttackRate:int[],UsedMonsterAttrLevel:int[],UsedMonsterStar:int[],UsedMonsterHpRate:int[],UsedMonsterAttackRate:int[],UsedScrollStar:int[],UsedScrollHpRate:int[],UsedScrollAttackRate:int[]
DUNGEON_DESERT_MANUAL_GENERATE_TEMPLATE_INFERNAL_002,12002,沙漠地狱手动第10层,E#N#B#N#E#M,,,,DUNGEON_LIB_MONSTER_BOSS_DESERT_12,DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_INFERNAL_BOSS_002,TRUE,1,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_005,DUNGEON_LIB_EVENT_HELP_THEME_GROUP_2,F|F|F|F|F|T,5,5,205,10,400,300,10,300,150,140,7,490,370,6,370,180
,,,N#B#N#M#B#E,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_002,DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_003,FALSE,0,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_005,DUNGEON_LIB_EVENT_HELP_THEME_GROUP_1,F|F|F|T|F|F,5,5,205,10,1670,350,10,850,150,140,7,2050,430,6,1040,180
,,,G#N#M#B#M#N,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_002,DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_003,FALSE,0,,DUNGEON_LIB_EVENT_HELP_THEME_GROUP_1,F|F|T|F|T|F,5,5,205,10,1670,350,10,850,150,140,7,2050,430,6,1040,180
,,,N#E#B#M#N#B,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_003,DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_004,FALSE,0,,DUNGEON_LIB_EVENT_HELP_THEME_8,F|F|F|T|F|F,5,5,205,10,1670,350,10,850,150,140,7,2050,430,6,1040,180
,,,I#N#E#N#B#N,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_003,DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_004,FALSE,0,,DUNGEON_LIB_EVENT_HELP_THEME_8,T|F|F|F|F|F,5,5,205,10,1670,350,10,850,150,140,7,2050,430,6,1040,180
,,,E#O#N#G#N#E,,,,,None,FALSE,,,DUNGEON_LIB_EVENT_THEME_ADVENTURER_SQUAD_1,T|T|F|F|F|F,5,5,205,10,1670,350,10,850,150,140,7,2050,430,6,1040,180
,,,,,,,,None,FALSE,,,DUNGEON_LIB_EVENT_HELP_THEME_7,,5,5,205,10,1670,350,10,850,150,140,7,2050,430,6,1040,180
DUNGEON_DESERT_MANUAL_GENERATE_TEMPLATE_INFERNAL_003,12003,沙漠地狱手动第15层,M#M#M#N#N#E,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_003,None,FALSE,0,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_005,DUNGEON_LIB_EVENT_HELP_THEME_GROUP_1,T|T|T|F|F|F,5,5,235,10,3210,500,10,1620,230,160,8,3930,610,6,1980,280
,,,E#M#G#N#E#N,,,,DUNGEON_LIB_MONSTER_BOSS_DESERT_13,DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_INFERNAL_BOSS_003,TRUE,1,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_005,DUNGEON_LIB_EVENT_HELP_THEME_8,F|T|F|F|F|F,5,5,235,10,720,700,10,360,260,160,8,880,860,6,440,320
,,,N#N#N#E#N#N,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_003,None,FALSE,0,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_005,DUNGEON_LIB_EVENT_HELP_THEME_GROUP_2,F|F|F|F|F|F,5,5,235,10,3210,500,10,1620,230,160,8,3930,610,6,1980,280
,,,G#N#E#N#G#M,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_003,None,FALSE,0,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_005,DUNGEON_LIB_EVENT_HELP_THEME_8,F|F|F|F|F|T,5,5,235,10,3210,500,10,1620,230,160,8,3930,610,6,1980,280
,,,I#E#N#N#M#M,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_004,None,FALSE,0,,DUNGEON_LIB_EVENT_HELP_THEME_GROUP_1,T|F|F|F|T|T,5,5,235,10,3210,500,10,1620,230,160,8,3930,610,6,1980,280
,,,E#O#G#N#E#M,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_004,None,FALSE,0,,DUNGEON_LIB_EVENT_HELP_THEME_8,T|T|F|F|F|T,5,5,235,10,3210,500,10,1620,230,160,8,3930,610,6,1980,280
,,,,,,,DUNGEON_LIB_MONSTER_BOSS_DESERT_14,DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_INFERNAL_BOSS_004,TRUE,1,,DUNGEON_LIB_EVENT_THEME_ADVENTURER_SQUAD_1,,5,5,235,10,720,700,10,360,260,160,8,880,860,6,440,320
,,,,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_004,None,FALSE,0,,DUNGEON_LIB_EVENT_HELP_THEME_8,,5,5,235,10,3210,500,10,1620,230,160,8,3930,610,6,1980,280
DUNGEON_DESERT_MANUAL_GENERATE_TEMPLATE_INFERNAL_004,12004,沙漠地狱手动第20层,E#N#E#N#E#N#G,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_004,DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_006,FALSE,0,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_005,DUNGEON_LIB_EVENT_HELP_THEME_GROUP_2,F|F|F|F|F|F|F,5,5,300,10,5000,800,10,2500,350,180,9,6120,980,7,3060,430
,,,N#E#N#N#N#I#N,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_004,DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_007,FALSE,0,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_005,DUNGEON_LIB_EVENT_HELP_THEME_8,F|T|F|T|F|T|F,5,5,300,10,5000,800,10,2500,350,180,9,6120,980,7,3060,430
,,,E#N#G#M#G#N#E,,,,DUNGEON_LIB_MONSTER_BOSS_DESERT_15,DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_INFERNAL_BOSS_005,TRUE,1,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_005,DUNGEON_LIB_EVENT_HELP_THEME_GROUP_1,F|F|F|F|F|F|F,5,1,300,10,5000,800,10,2500,350,180,9,6120,980,7,3060,430
,,,N#N#M#M#M#N#N,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_004,DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_009,FALSE,0,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_005,DUNGEON_LIB_EVENT_THEME_ADVENTURER_SQUAD_1,F|T|F|T|F|T|F,5,5,300,10,5000,800,10,2500,350,180,9,6120,980,7,3060,430
,,,E#N#G#M#G#N#E,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_004,DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_008,FALSE,0,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_005,DUNGEON_LIB_EVENT_HELP_THEME_GROUP_1,F|F|F|F|F|F|F,5,5,300,10,5000,800,10,2500,350,180,9,6120,980,7,3060,430
,,,N#M#N#N#N#O#N,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_004,DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_001,FALSE,0,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_005,DUNGEON_LIB_EVENT_HELP_THEME_8,F|T|F|T|F|T|F,5,5,300,10,5000,800,10,2500,350,180,9,6120,980,7,3060,430
,,,G#N#E#N#E#N#E,,,,,,FALSE,,,DUNGEON_LIB_EVENT_HELP_THEME_8,F|F|F|F|F|F|F,5,5,300,10,5000,800,10,2500,350,180,9,6120,980,7,3060,430
,,,,,,,,,FALSE,,,DUNGEON_LIB_EVENT_HELP_THEME_GROUP_1,,5,5,300,10,5000,800,10,2500,350,180,9,6120,980,7,3060,430
,,,,,,,,,FALSE,,,DUNGEON_LIB_EVENT_HELP_THEME_GROUP_1,,5,5,300,10,5000,800,10,2500,350,180,9,6120,980,7,3060,430
,,,,,,,,,FALSE,,,DUNGEON_LIB_EVENT_HELP_THEME_8,,5,5,300,10,5000,800,10,2500,350,180,9,6120,980,7,3060,430
,,,,,,,,,FALSE,,,DUNGEON_LIB_EVENT_HELP_THEME_8,,5,5,300,10,5000,800,10,2500,350,180,9,6120,980,7,3060,430
DUNGEON_GLACIER_MANUAL_GENERATE_TEMPLATE_ORDINARY_001,13001,冰川普通手动第5层,O#M#N#M#I,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_001,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EVENTLIB_GLACIER_GROUP_001,F|F|F|F|F,5,5,90,5,200,100,4,160,100,160,8,280,140,6,230,140
,,,N#B#M#B#N,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_001,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EVENTLIB_GLACIER_GROUP_001,F|F|T|F|F,5,5,90,5,200,100,4,160,100,160,8,280,140,6,230,140
,,,G#N#M#N#G,,,,DUNGEON_LIB_GLACIER_BOSS_DESERT_01,DUNGEON_LIB_EFFECT_THEME_GLACIER_ABILITY_BOSS_001,TRUE,1,DUNGEON_LIB_ITEMLIB_GROUP_001,,F|F|F|F|F,5,1,90,5,200,100,3,160,100,160,8,280,140,6,230,140
,,,G#N#N#N#G,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_001,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,,F|F|F|F|F,5,5,90,5,200,100,3,160,100,160,8,280,140,6,230,140
,,,E#N#B#N#E,,,,,,,,,,F|F|F|F|F,5,5,90,5,200,100,3,160,100,160,8,280,140,6,230,140
DUNGEON_GLACIER_MANUAL_GENERATE_TEMPLATE_ORDINARY_002,13002,冰川普通手动第10层,M#G#N#M#N#O,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_002,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EVENTLIB_GLACIER_GROUP_001,F|F|F|T|F|F,5,5,115,5,550,120,5,350,100,180,9,780,170,7,490,140
,,,N#E#N#B#M#N,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_002,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EVENTLIB_GLACIER_GROUP_001,F|F|F|F|T|F,5,5,115,5,550,120,5,350,100,180,9,780,170,7,490,140
,,,G#M#G#B#B#M,,,,DUNGEON_LIB_GLACIER_BOSS_DESERT_02,DUNGEON_LIB_EFFECT_THEME_GLACIER_ABILITY_BOSS_002,TRUE,1,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EVENTLIB_GLACIER_GROUP_001,F|F|F|F|F|T,5,1,115,5,550,120,5,350,100,180,9,780,170,7,490,140
,,,N#G#N#G#N#N,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_002,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,,F|F|F|F|F|F,5,5,115,5,550,120,5,350,100,180,9,780,170,7,490,140
,,,N#E#G#M#E#G,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_002,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,,F|F|F|F|F|F,5,5,115,5,550,120,5,350,100,180,9,780,170,7,490,140
,,,I#N#N#G#N#M,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_002,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,,F|F|F|F|F|F,5,5,115,5,550,120,5,350,100,180,9,780,170,7,490,140
,,,,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_002,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,,,5,5,115,5,550,120,5,350,100,180,9,780,170,7,490,140
,,,,,,,,,,,DUNGEON_LIB_ITEMLIB_GROUP_001,,,5,5,115,5,550,120,5,350,100,180,9,780,170,7,490,140
DUNGEON_GLACIER_MANUAL_GENERATE_TEMPLATE_ORDINARY_003,13003,冰川普通手动第15层,I#M#B#M#E#M,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_003,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EVENTLIB_GLACIER_GROUP_001,F|F|F|F|F|F,5,5,140,7,1250,200,6,650,110,200,10,1770,280,8,920,160
,,,N#B#E#G#N#E,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_003,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EVENTLIB_GLACIER_GROUP_001,F|F|F|F|F|F,5,5,140,7,1250,200,6,650,110,200,10,1770,280,8,920,160
,,,M#N#G#M#G#M,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_003,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EVENTLIB_GLACIER_GROUP_001,F|F|F|T|F|F,5,5,140,7,1250,200,6,650,110,200,10,1770,280,8,920,160
,,,G#B#G#G#E#B,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_003,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EVENTLIB_GLACIER_GROUP_001,F|F|F|F|F|F,5,5,140,7,1250,200,6,650,110,200,10,1770,280,8,920,160
,,,E#M#B#N#B#M,,,,DUNGEON_LIB_GLACIER_BOSS_DESERT_03,DUNGEON_LIB_EFFECT_THEME_GLACIER_ABILITY_BOSS_003,TRUE,1,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EVENTLIB_GLACIER_GROUP_001,F|F|F|F|F|F,5,1,140,7,1250,200,6,650,110,200,10,1770,280,8,920,160
,,,G#E#G#M#N#O,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_003,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EVENTLIB_GLACIER_GROUP_001,F|F|F|F|F|F,5,5,140,7,1250,200,6,650,110,200,10,1770,280,8,920,160
,,,,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_003,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,,,5,5,140,7,1250,200,6,650,110,200,10,1770,280,8,920,160
,,,,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_003,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,,,5,5,140,7,1250,200,6,650,110,200,10,1770,280,8,920,160
,,,,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_003,None,FALSE,0,,,,5,5,140,7,1250,200,6,650,110,200,10,1770,280,8,920,160
DUNGEON_GLACIER_MANUAL_GENERATE_TEMPLATE_ORDINARY_004,13004,冰川普通手动第20层,M#N#G#M#B#B#M,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_004,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EVENTLIB_GLACIER_GROUP_001,F|T|T|F|F|F|F,5,5,180,8,2040,340,8,1020,170,220,11,2880,480,9,1440,240
,,,B#E#N#G#B#E#I,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_004,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EVENTLIB_GLACIER_GROUP_001,F|F|T|F|F|F|T,5,5,180,8,2040,340,8,1020,170,220,11,2880,480,9,1440,240
,,,B#B#G#N#G#N#G,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_004,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EVENTLIB_GLACIER_GROUP_001,F|F|F|F|F|T|T,5,5,180,8,2040,340,8,1020,170,220,11,2880,480,9,1440,240
,,,M#E#G#M#G#N#M,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_004,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EVENTLIB_GLACIER_GROUP_001,F|F|F|T|F|F|F,5,5,180,8,2040,340,8,1020,170,220,11,2880,480,9,1440,240
,,,G#N#G#N#G#B#B,,,,DUNGEON_LIB_GLACIER_BOSS_DESERT_04,DUNGEON_LIB_EFFECT_THEME_GLACIER_ABILITY_BOSS_004,TRUE,1,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EVENTLIB_GLACIER_GROUP_001,T|T|F|F|F|F|F,5,1,180,8,2040,340,8,1020,170,220,11,2880,480,9,1440,240
,,,O#E#B#G#N#E#B,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_004,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EVENTLIB_GLACIER_GROUP_001,T|F|F|F|T|F|F,5,5,180,8,2040,340,8,1020,170,220,11,2880,480,9,1440,240
,,,M#B#B#M#G#E#M,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_004,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,,F|F|F|F|T|T|F,5,5,180,8,2040,340,8,1020,170,220,11,2880,480,9,1440,240
,,,,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_004,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,,,5,5,180,8,2040,340,8,1020,170,220,11,2880,480,9,1440,240
,,,,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_004,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,,,5,5,180,8,2040,340,8,1020,170,220,11,2880,480,9,1440,240
,,,,,,,,,,,DUNGEON_LIB_ITEMLIB_GROUP_001,,,5,5,180,8,2040,340,8,1020,170,220,11,2880,480,9,1440,240
,,,,,,,,,,,DUNGEON_LIB_ITEMLIB_GROUP_001,,,5,5,180,8,2040,340,8,1020,170,220,11,2880,480,9,1440,240
,,,,,,,,,,,DUNGEON_LIB_ITEMLIB_GROUP_001,,,5,5,180,8,2040,340,8,1020,170,220,11,2880,480,9,1440,240
DUNGEON_GLACIER_MANUAL_GENERATE_TEMPLATE_INFERNAL_001,14001,冰川地狱手动第5层,O#M#N#M#I,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_001,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EVENTLIB_GLACIER_GROUP_001,F|F|F|F|F,5,5,180,9,510,200,9,260,100,160,8,720,280,6,370,140
,,,N#B#M#B#N,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_001,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EVENTLIB_GLACIER_GROUP_001,F|F|T|F|F,5,5,180,9,510,200,9,260,100,160,8,720,280,6,370,140
,,,G#N#M#N#G,,,,DUNGEON_LIB_GLACIER_BOSS_DESERT_11,DUNGEON_LIB_EFFECT_THEME_GLACIER_ABILITY_INFERNAL_BOSS_001,TRUE,1,DUNGEON_LIB_ITEMLIB_GROUP_001,,F|F|F|F|F,5,1,180,9,510,200,9,260,100,160,8,720,280,6,370,140
,,,G#N#N#N#G,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_001,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,,F|F|F|F|F,5,5,180,9,510,200,9,260,100,160,8,720,280,6,370,140
,,,E#N#B#N#E,,,,,,,,,,F|F|F|F|F,5,5,180,9,510,200,9,260,100,160,8,720,280,6,370,140
DUNGEON_GLACIER_MANUAL_GENERATE_TEMPLATE_INFERNAL_002,14002,冰川地狱手动第10层,M#G#N#M#N#O,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_002,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EVENTLIB_GLACIER_GROUP_001,F|F|F|T|F|F,5,5,205,10,1130,240,10,580,100,180,9,1600,340,7,820,140
,,,N#E#N#B#M#N,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_002,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EVENTLIB_GLACIER_GROUP_001,F|F|F|F|T|F,5,5,205,10,1130,240,10,580,100,180,9,1600,340,7,820,140
,,,G#M#G#B#B#M,,,,DUNGEON_LIB_GLACIER_BOSS_DESERT_12,DUNGEON_LIB_EFFECT_THEME_GLACIER_ABILITY_INFERNAL_BOSS_002,TRUE,1,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EVENTLIB_GLACIER_GROUP_001,F|F|F|F|F|T,5,1,205,10,1130,240,10,580,100,180,9,1600,340,7,820,140
,,,N#G#N#G#N#N,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_002,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,,F|F|F|F|F|F,5,5,205,10,1130,240,10,580,100,180,9,1600,340,7,820,140
,,,N#E#G#M#E#G,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_002,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,,F|F|F|F|F|F,5,5,205,10,1130,240,10,580,100,180,9,1600,340,7,820,140
,,,I#N#N#G#N#M,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_002,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,,F|F|F|F|F|F,5,5,205,10,1130,240,10,580,100,180,9,1600,340,7,820,140
,,,,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_002,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,,,5,5,205,10,1130,240,10,580,100,180,9,1600,340,7,820,140
,,,,,,,,,,,DUNGEON_LIB_ITEMLIB_GROUP_001,,,5,5,205,10,1130,240,10,580,100,180,9,1600,340,7,820,140
DUNGEON_GLACIER_MANUAL_GENERATE_TEMPLATE_INFERNAL_003,14003,冰川地狱手动第15层,I#M#B#M#E#M,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_003,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EVENTLIB_GLACIER_GROUP_001,F|F|F|F|F|F,5,5,235,10,2180,340,10,1100,160,200,10,3080,480,8,1560,230
,,,N#B#E#G#N#E,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_003,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EVENTLIB_GLACIER_GROUP_001,F|F|F|F|F|F,5,5,235,10,2180,340,10,1100,160,200,10,3080,480,8,1560,230
,,,M#N#G#M#G#M,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_003,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EVENTLIB_GLACIER_GROUP_001,F|F|F|T|F|F,5,5,235,10,2180,340,10,1100,160,200,10,3080,480,8,1560,230
,,,G#B#G#G#E#B,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_003,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EVENTLIB_GLACIER_GROUP_001,F|F|F|F|F|F,5,5,235,10,2180,340,10,1100,160,200,10,3080,480,8,1560,230
,,,E#M#B#N#B#M,,,,DUNGEON_LIB_GLACIER_BOSS_DESERT_13,DUNGEON_LIB_EFFECT_THEME_GLACIER_ABILITY_INFERNAL_BOSS_003,TRUE,1,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EVENTLIB_GLACIER_GROUP_001,F|F|F|F|F|F,5,1,235,10,2180,340,10,1100,160,200,10,3080,480,8,1560,230
,,,G#E#G#M#N#O,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_003,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EVENTLIB_GLACIER_GROUP_001,F|F|F|F|F|F,5,5,235,10,2180,340,10,1100,160,200,10,3080,480,8,1560,230
,,,,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_003,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,,,5,5,235,10,2180,340,10,1100,160,200,10,3080,480,8,1560,230
,,,,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_003,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,,,5,5,235,10,2180,340,10,1100,160,200,10,3080,480,8,1560,230
,,,,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_003,None,FALSE,0,,,,5,5,235,10,2180,340,10,1100,160,200,10,3080,480,8,1560,230
DUNGEON_GLACIER_MANUAL_GENERATE_TEMPLATE_INFERNAL_004,14004,冰川地狱手动第20层,M#N#G#M#B#B#M,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_004,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EVENTLIB_GLACIER_GROUP_001,F|T|T|F|F|F|F,5,5,300,10,3400,540,10,1700,240,220,11,4810,760,9,2400,340
,,,B#E#N#G#B#E#I,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_004,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EVENTLIB_GLACIER_GROUP_001,F|F|T|F|F|F|T,5,5,300,10,3400,540,10,1700,240,220,11,4810,760,9,2400,340
,,,B#B#G#N#G#N#G,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_004,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EVENTLIB_GLACIER_GROUP_001,F|F|F|F|F|T|T,5,5,300,10,3400,540,10,1700,240,220,11,4810,760,9,2400,340
,,,M#E#G#M#G#N#M,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_004,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EVENTLIB_GLACIER_GROUP_001,F|F|F|T|F|F|F,5,5,300,10,3400,540,10,1700,240,220,11,4810,760,9,2400,340
,,,G#N#G#N#G#B#B,,,,DUNGEON_LIB_GLACIER_BOSS_DESERT_14,DUNGEON_LIB_EFFECT_THEME_GLACIER_ABILITY_INFERNAL_BOSS_004,TRUE,1,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EVENTLIB_GLACIER_GROUP_001,T|T|F|F|F|F|F,5,1,300,10,3400,540,10,1700,240,220,11,4810,760,9,2400,340
,,,O#E#B#G#N#E#B,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_004,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EVENTLIB_GLACIER_GROUP_001,T|F|F|F|T|F|F,5,5,300,10,3400,540,10,1700,240,220,11,4810,760,9,2400,340
,,,M#B#B#M#G#E#M,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_004,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,,F|F|F|F|T|T|F,5,5,300,10,3400,540,10,1700,240,220,11,4810,760,9,2400,340
,,,,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_004,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_001,,,5,5,300,10,3400,540,10,1700,240,220,11,4810,760,9,2400,340
