_ID,_VALUE,ThemeType:string,ThemeIcon:string,EntranceMap:string,EntranceLayer:string,Title:loc,Title2:loc,Descript:loc,Entrance:int[],Layer:int[],AutoPortalEventLayer:string[],LayerDispay:int[],SpecialLayerName:loc[],DifficultyChart:int[],IsSave:bool[],Map:id[],Map2:id[],UsedEnter:int,OpenLayer:int[],OpenTime:int[],ConditionParam:string[],#Remark:string,Main:int,OpenStatus:int,Reward1:id[],RewardNum1:int[],Reward2:id[],RewardNum2:int[],Reward3:id[],RewardNum3:int[],Reward4:id[],RewardNum4:int[],UsedReward1:id[],UsedRewardNum1:int[],UsedReward2:id[],UsedRewardNum2:int[],UsedReward3:id[],UsedRewardNum3:int[],UsedReward4:id[],UsedRewardNum4:int[]
,,,,,,,,,,36,0#0,16,None,2,TRUE,DUNGEON_MAP_GLACIER_036,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,37,0#0,17,None,2,FALSE,DUNGEON_MAP_GLACIER_037,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,38,0#0,18,None,2,FALSE,DUNGEON_MAP_GLACIER_038,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,39,0#0,19,None,2,FALSE,DUNGEON_MAP_GLACIER_039,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,40,0#0,20,None,2,FALSE,DUNGEON_MAP_GLACIER_040,,,,,,,,,ITEM_FRAME_35,1,ITEM_EXCLUSIVE_AMETHYST,1500,ITEM_CRYSTAL,400,ITEM_GOLD,50000000,None,0,None,0,None,0,None,0
DUNGEON_THEME_MAGICFOREST,4,MagicForest,UI_Dungeons_Entrance_04,UI_Preview_Dungeons_Mode_04,PAN_Dungeon_Map_Entrance_Doctor_Owl,LOC_DUNGEON_START_TITLE_MAGICFOREST_2,LOC_DUNGEON_START_TITLE2_MAGICFOREST_2,LOC_DUNGEON_START_DESC_MAGICFOREST_2,1,1,0#0,1,None,1,FALSE,DUNGEON_MAP_MAGICFOREST_001,DUNGEON_MAP_MAGICFOREST_001,1810,5,0,2020-06-05,第一次开启日期,0,1,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,1,2,0#0,2,None,1,FALSE,DUNGEON_MAP_MAGICFOREST_002,DUNGEON_MAP_MAGICFOREST_002,,10,600,14:20:00,第一次开启时间,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,3,0#0,3,None,1,FALSE,DUNGEON_MAP_MAGICFOREST_003,DUNGEON_MAP_MAGICFOREST_003,,15,1200,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,4,0#0,4,None,1,FALSE,DUNGEON_MAP_MAGICFOREST_004,DUNGEON_MAP_MAGICFOREST_004,,20,1800,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,5,0#0,5,None,1,FALSE,DUNGEON_MAP_MAGICFOREST_005,DUNGEON_MAP_MAGICFOREST_005,,30,2400,,,,,ITEM_SPAR_KEY,5,ITEM_EXCLUSIVE_AMETHYST,150,ITEM_CRYSTAL,50,ITEM_GOLD,2000000,ITEM_CRYSTAL,225,ITEM_SPAR_SUPER_BOX_TICKET,2,ITEM_EXCLUSIVE_AMETHYST,350,ITEM_GOLD,2000000
,,,,,,,,,,6,0#0,6,None,1,TRUE,DUNGEON_MAP_MAGICFOREST_006,DUNGEON_MAP_MAGICFOREST_006,,40,3000,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,7,0#0,7,None,1,FALSE,DUNGEON_MAP_MAGICFOREST_007,DUNGEON_MAP_MAGICFOREST_007,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,8,0#0,8,None,1,FALSE,DUNGEON_MAP_MAGICFOREST_008,DUNGEON_MAP_MAGICFOREST_008,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,9,0#0,9,None,1,FALSE,DUNGEON_MAP_MAGICFOREST_009,DUNGEON_MAP_MAGICFOREST_009,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,10,0#0,10,None,1,FALSE,DUNGEON_MAP_MAGICFOREST_010,DUNGEON_MAP_MAGICFOREST_010,,,,,,,,ITEM_BANQUET_TICKET,10,ITEM_EXCLUSIVE_AMETHYST,250,ITEM_CRYSTAL,80,ITEM_GOLD,3000000,ITEM_CRYSTAL,275,ITEM_BANQUET_TICKET,3,ITEM_EXCLUSIVE_AMETHYST,350,ITEM_GOLD,2000000
,,,,,,,,,,11,0#0,11,None,1,TRUE,DUNGEON_MAP_MAGICFOREST_011,DUNGEON_MAP_MAGICFOREST_011,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,12,0#0,12,None,1,FALSE,DUNGEON_MAP_MAGICFOREST_012,DUNGEON_MAP_MAGICFOREST_012,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,13,0#0,13,None,1,FALSE,DUNGEON_MAP_MAGICFOREST_013,DUNGEON_MAP_MAGICFOREST_013,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,14,0#0,14,None,1,FALSE,DUNGEON_MAP_MAGICFOREST_014,DUNGEON_MAP_MAGICFOREST_014,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,15,0#0,15,None,1,FALSE,DUNGEON_MAP_MAGICFOREST_015,DUNGEON_MAP_MAGICFOREST_015,,,,,,,,ITEM_MONSTER_SPLINTER_ALL_4,20,ITEM_EXCLUSIVE_AMETHYST,400,ITEM_CRYSTAL,100,ITEM_GOLD,5000000,ITEM_CRYSTAL,375,ITEM_MONSTER_SPLINTER_ALL_4,60,ITEM_EXCLUSIVE_AMETHYST,450,ITEM_GOLD,2000000
,,,,,,,,,,16,0#0,16,None,1,TRUE,DUNGEON_MAP_MAGICFOREST_016,DUNGEON_MAP_MAGICFOREST_016,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,17,0#0,17,None,1,FALSE,DUNGEON_MAP_MAGICFOREST_017,DUNGEON_MAP_MAGICFOREST_017,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,18,0#0,18,None,1,FALSE,DUNGEON_MAP_MAGICFOREST_018,DUNGEON_MAP_MAGICFOREST_018,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,19,0#0,19,None,1,FALSE,DUNGEON_MAP_MAGICFOREST_019,DUNGEON_MAP_MAGICFOREST_019,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,20,0#0,20,None,1,FALSE,DUNGEON_MAP_MAGICFOREST_020,DUNGEON_MAP_MAGICFOREST_020,,,,,,,,ITEM_SKIN_HERO_OSIRIS_HELLFIRE,1,ITEM_EXCLUSIVE_AMETHYST,500,ITEM_CRYSTAL,120,ITEM_GOLD,10000000,ITEM_CRYSTAL,650,ITEM_BANQUET_TICKET,5,ITEM_EXCLUSIVE_AMETHYST,550,ITEM_GOLD,2000000
,,,,,,,,,,21,0#0,1,None,2,FALSE,DUNGEON_MAP_MAGICFOREST_021,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,22,0#0,2,None,2,FALSE,DUNGEON_MAP_MAGICFOREST_022,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,23,0#0,3,None,2,FALSE,DUNGEON_MAP_MAGICFOREST_023,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,24,0#0,4,None,2,FALSE,DUNGEON_MAP_MAGICFOREST_024,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,25,0#0,5,None,2,FALSE,DUNGEON_MAP_MAGICFOREST_025,,,,,,,,,ITEM_EXCLUSIVE_WASH,10,ITEM_EXCLUSIVE_AMETHYST,800,ITEM_CRYSTAL,100,ITEM_GOLD,10000000,None,0,None,0,None,0,None,0
,,,,,,,,,,26,0#0,6,None,2,TRUE,DUNGEON_MAP_MAGICFOREST_026,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,27,0#0,7,None,2,FALSE,DUNGEON_MAP_MAGICFOREST_027,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,28,0#0,8,None,2,FALSE,DUNGEON_MAP_MAGICFOREST_028,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,29,0#0,9,None,2,FALSE,DUNGEON_MAP_MAGICFOREST_029,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,30,0#0,10,None,2,FALSE,DUNGEON_MAP_MAGICFOREST_030,,,,,,,,,ITEM_MONSTER_SPLINTER_ALL_4,40,ITEM_EXCLUSIVE_AMETHYST,900,ITEM_CRYSTAL,150,ITEM_GOLD,10000000,None,0,None,0,None,0,None,0
,,,,,,,,,,31,0#0,11,None,2,TRUE,DUNGEON_MAP_MAGICFOREST_031,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,32,0#0,12,None,2,FALSE,DUNGEON_MAP_MAGICFOREST_032,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,33,0#0,13,None,2,FALSE,DUNGEON_MAP_MAGICFOREST_033,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,34,0#0,14,None,2,FALSE,DUNGEON_MAP_MAGICFOREST_034,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,35,0#0,15,None,2,FALSE,DUNGEON_MAP_MAGICFOREST_035,,,,,,,,,ITEM_SPAR_SUPER_BOX_TICKET,15,ITEM_EXCLUSIVE_AMETHYST,1000,ITEM_CRYSTAL,200,ITEM_GOLD,10000000,None,0,None,0,None,0,None,0
,,,,,,,,,,36,0#0,16,None,2,TRUE,DUNGEON_MAP_MAGICFOREST_036,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,37,0#0,17,None,2,FALSE,DUNGEON_MAP_MAGICFOREST_037,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,38,0#0,18,None,2,FALSE,DUNGEON_MAP_MAGICFOREST_038,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,39,0#0,19,None,2,FALSE,DUNGEON_MAP_MAGICFOREST_039,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,40,0#0,20,None,2,FALSE,DUNGEON_MAP_MAGICFOREST_040,,,,,,,,,ITEM_FRAME_39,1,ITEM_EXCLUSIVE_AMETHYST,1500,ITEM_CRYSTAL,400,ITEM_GOLD,50000000,None,0,None,0,None,0,None,0
DUNGEON_THEME_MAGICFOREST_2,5,MagicForest2,UI_Dungeons_Entrance_05,UI_Preview_Dungeons_Mode_05,PAN_Dungeon_Map_Entrance_Magicforest2,LOC_DUNGEON_START_TITLE_MAGICFOREST2_2,LOC_DUNGEON_START_TITLE2_MAGICFOREST2_2,LOC_DUNGEON_START_DESC_MAGICFOREST2_2,1,1,0#0,1,None,1,FALSE,DUNGEON_MAP_MAGICFOREST_2_001,DUNGEON_MAP_MAGICFOREST_2_001,2310,5,0,2020-09-14,第一次开启日期,0,1,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,1,2,0#0,2,None,1,FALSE,DUNGEON_MAP_MAGICFOREST_2_002,DUNGEON_MAP_MAGICFOREST_2_002,,10,600,16:00:00,第一次开启时间,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,3,0#0,3,None,1,FALSE,DUNGEON_MAP_MAGICFOREST_2_003,DUNGEON_MAP_MAGICFOREST_2_003,,15,1200,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,4,0#0,4,None,1,FALSE,DUNGEON_MAP_MAGICFOREST_2_004,DUNGEON_MAP_MAGICFOREST_2_004,,20,1800,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,5,0#0,5,None,1,FALSE,DUNGEON_MAP_MAGICFOREST_2_005,DUNGEON_MAP_MAGICFOREST_2_005,,30,2400,,,,,ITEM_SPAR_KEY,5,ITEM_EXCLUSIVE_AMETHYST,150,ITEM_CRYSTAL,50,ITEM_GOLD,2000000,None,0,None,0,None,0,None,0
,,,,,,,,,,6,0#0,6,None,1,TRUE,DUNGEON_MAP_MAGICFOREST_2_006,DUNGEON_MAP_MAGICFOREST_2_006,,40,3000,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,7,0#0,7,None,1,FALSE,DUNGEON_MAP_MAGICFOREST_2_007,DUNGEON_MAP_MAGICFOREST_2_007,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,8,0#0,8,None,1,FALSE,DUNGEON_MAP_MAGICFOREST_2_008,DUNGEON_MAP_MAGICFOREST_2_008,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,9,0#0,9,None,1,FALSE,DUNGEON_MAP_MAGICFOREST_2_009,DUNGEON_MAP_MAGICFOREST_2_009,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,10,0#0,10,None,1,FALSE,DUNGEON_MAP_MAGICFOREST_2_010,DUNGEON_MAP_MAGICFOREST_2_010,,,,,,,,ITEM_BANQUET_TICKET,10,ITEM_EXCLUSIVE_AMETHYST,250,ITEM_CRYSTAL,80,ITEM_GOLD,3000000,None,0,None,0,None,0,None,0
,,,,,,,,,,11,0#0,11,None,1,TRUE,DUNGEON_MAP_MAGICFOREST_2_011,DUNGEON_MAP_MAGICFOREST_2_011,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,12,0#0,12,None,1,FALSE,DUNGEON_MAP_MAGICFOREST_2_012,DUNGEON_MAP_MAGICFOREST_2_012,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,13,0#0,13,None,1,FALSE,DUNGEON_MAP_MAGICFOREST_2_013,DUNGEON_MAP_MAGICFOREST_2_013,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,14,0#0,14,None,1,FALSE,DUNGEON_MAP_MAGICFOREST_2_014,DUNGEON_MAP_MAGICFOREST_2_014,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,15,0#0,15,None,1,FALSE,DUNGEON_MAP_MAGICFOREST_2_015,DUNGEON_MAP_MAGICFOREST_2_015,,,,,,,,ITEM_MONSTER_SPLINTER_ALL_4,20,ITEM_EXCLUSIVE_AMETHYST,400,ITEM_CRYSTAL,100,ITEM_GOLD,5000000,None,0,None,0,None,0,None,0
,,,,,,,,,,16,0#0,16,None,1,TRUE,DUNGEON_MAP_MAGICFOREST_2_016,DUNGEON_MAP_MAGICFOREST_2_016,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,17,0#0,17,None,1,FALSE,DUNGEON_MAP_MAGICFOREST_2_017,DUNGEON_MAP_MAGICFOREST_2_017,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,18,0#0,18,None,1,FALSE,DUNGEON_MAP_MAGICFOREST_2_018,DUNGEON_MAP_MAGICFOREST_2_018,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,19,0#0,19,None,1,FALSE,DUNGEON_MAP_MAGICFOREST_2_019,DUNGEON_MAP_MAGICFOREST_2_019,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,20,0#0,20,None,1,FALSE,DUNGEON_MAP_MAGICFOREST_2_020,DUNGEON_MAP_MAGICFOREST_2_020,,,,,,,,ITEM_SKIN_HERO_VESPER_MECHASTORM,1,ITEM_EXCLUSIVE_AMETHYST,500,ITEM_CRYSTAL,120,ITEM_GOLD,10000000,None,0,None,0,None,0,None,0
,,,,,,,,,,21,0#0,1,None,2,FALSE,DUNGEON_MAP_MAGICFOREST_2_021,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,22,0#0,2,None,2,FALSE,DUNGEON_MAP_MAGICFOREST_2_022,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,23,0#0,3,None,2,FALSE,DUNGEON_MAP_MAGICFOREST_2_023,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,24,0#0,4,None,2,FALSE,DUNGEON_MAP_MAGICFOREST_2_024,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,25,0#0,5,None,2,FALSE,DUNGEON_MAP_MAGICFOREST_2_025,,,,,,,,,ITEM_EXCLUSIVE_WASH,10,ITEM_EXCLUSIVE_AMETHYST,800,ITEM_CRYSTAL,100,ITEM_GOLD,10000000,None,0,None,0,None,0,None,0
,,,,,,,,,,26,0#0,6,None,2,TRUE,DUNGEON_MAP_MAGICFOREST_2_026,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,27,0#0,7,None,2,FALSE,DUNGEON_MAP_MAGICFOREST_2_027,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,28,0#0,8,None,2,FALSE,DUNGEON_MAP_MAGICFOREST_2_028,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,29,0#0,9,None,2,FALSE,DUNGEON_MAP_MAGICFOREST_2_029,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,30,0#0,10,None,2,FALSE,DUNGEON_MAP_MAGICFOREST_2_030,,,,,,,,,ITEM_MONSTER_SPLINTER_ALL_4,40,ITEM_EXCLUSIVE_AMETHYST,900,ITEM_CRYSTAL,150,ITEM_GOLD,10000000,None,0,None,0,None,0,None,0
,,,,,,,,,,31,0#0,11,None,2,TRUE,DUNGEON_MAP_MAGICFOREST_2_031,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,32,0#0,12,None,2,FALSE,DUNGEON_MAP_MAGICFOREST_2_032,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,33,0#0,13,None,2,FALSE,DUNGEON_MAP_MAGICFOREST_2_033,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,34,0#0,14,None,2,FALSE,DUNGEON_MAP_MAGICFOREST_2_034,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,35,0#0,15,None,2,FALSE,DUNGEON_MAP_MAGICFOREST_2_035,,,,,,,,,ITEM_SPAR_SUPER_BOX_TICKET,15,ITEM_EXCLUSIVE_AMETHYST,1000,ITEM_CRYSTAL,200,ITEM_GOLD,10000000,None,0,None,0,None,0,None,0
,,,,,,,,,,36,0#0,16,None,2,TRUE,DUNGEON_MAP_MAGICFOREST_2_036,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,37,0#0,17,None,2,FALSE,DUNGEON_MAP_MAGICFOREST_2_037,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,38,0#0,18,None,2,FALSE,DUNGEON_MAP_MAGICFOREST_2_038,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,39,0#0,19,None,2,FALSE,DUNGEON_MAP_MAGICFOREST_2_039,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,40,0#0,20,None,2,FALSE,DUNGEON_MAP_MAGICFOREST_2_040,,,,,,,,,ITEM_MONSTER_SPLINTER_ALL_4,60,ITEM_EXCLUSIVE_AMETHYST,1500,ITEM_CRYSTAL,400,ITEM_GOLD,50000000,None,0,None,0,None,0,None,0
DUNGEON_THEME_LAVAFIEID,6,LavaField,UI_Dungeons_Entrance_06,UI_Preview_Dungeons_Mode_06,PAN_Dungeon_Map_Entrance_LavaField,LOC_DUNGEON_START_TITLE_LAVAFIELD_2,LOC_DUNGEON_START_TITLE2_LAVAFIELD_2,LOC_DUNGEON_START_DESC_LAVAFIELD_2,41,1,41#1#1,1,None,1,FALSE,DUNGEON_MAP_LAVAFIEID_001,DUNGEON_MAP_LAVAFIEID_001,2810,5,0,2020-09-14,第一次开启日期,1,1,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,1,2,41#1#2,2,None,1,FALSE,DUNGEON_MAP_LAVAFIEID_002,DUNGEON_MAP_LAVAFIEID_002,,10,600,16:00:00,第一次开启时间,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,3,41#1#3,3,None,1,FALSE,DUNGEON_MAP_LAVAFIEID_003,DUNGEON_MAP_LAVAFIEID_003,,15,1200,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,4,41#1#4,4,None,1,FALSE,DUNGEON_MAP_LAVAFIEID_004,DUNGEON_MAP_LAVAFIEID_004,,20,1800,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,5,42#1#1,5,None,1,FALSE,DUNGEON_MAP_LAVAFIEID_005,DUNGEON_MAP_LAVAFIEID_005,,30,2400,,,,,ITEM_SPAR_KEY,5,ITEM_EXCLUSIVE_AMETHYST,150,ITEM_CRYSTAL,50,ITEM_GOLD,2000000,None,0,None,0,None,0,None,0
,,,,,,,,,,6,42#1#2,6,None,1,FALSE,DUNGEON_MAP_LAVAFIEID_006,DUNGEON_MAP_LAVAFIEID_006,,40,3000,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,7,42#1#3,7,None,1,FALSE,DUNGEON_MAP_LAVAFIEID_007,DUNGEON_MAP_LAVAFIEID_007,,41,0,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,8,42#1#4,8,None,1,FALSE,DUNGEON_MAP_LAVAFIEID_008,DUNGEON_MAP_LAVAFIEID_008,,42,600,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,9,42#1#5,9,None,1,FALSE,DUNGEON_MAP_LAVAFIEID_009,DUNGEON_MAP_LAVAFIEID_009,,43,1200,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,10,43#1#1,10,None,1,FALSE,DUNGEON_MAP_LAVAFIEID_010,DUNGEON_MAP_LAVAFIEID_010,,44,1800,,,,,ITEM_BANQUET_TICKET,10,ITEM_EXCLUSIVE_AMETHYST,250,ITEM_CRYSTAL,80,ITEM_GOLD,3000000,None,0,None,0,None,0,None,0
,,,,,,,,,,11,43#1#2,11,None,1,FALSE,DUNGEON_MAP_LAVAFIEID_011,DUNGEON_MAP_LAVAFIEID_011,,45,2400,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,12,43#1#3,12,None,1,FALSE,DUNGEON_MAP_LAVAFIEID_012,DUNGEON_MAP_LAVAFIEID_012,,46,2400,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,13,43#1#4,13,None,1,FALSE,DUNGEON_MAP_LAVAFIEID_013,DUNGEON_MAP_LAVAFIEID_013,,47,3000,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,14,43#1#5,14,None,1,FALSE,DUNGEON_MAP_LAVAFIEID_014,DUNGEON_MAP_LAVAFIEID_014,,48,3000,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,15,44#1#1,15,None,1,FALSE,DUNGEON_MAP_LAVAFIEID_015,DUNGEON_MAP_LAVAFIEID_015,,,,,,,,ITEM_MONSTER_SPLINTER_ALL_4,20,ITEM_EXCLUSIVE_AMETHYST,400,ITEM_CRYSTAL,100,ITEM_GOLD,5000000,None,0,None,0,None,0,None,0
,,,,,,,,,,16,44#1#2,16,None,1,FALSE,DUNGEON_MAP_LAVAFIEID_016,DUNGEON_MAP_LAVAFIEID_016,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,17,44#1#3,17,None,1,FALSE,DUNGEON_MAP_LAVAFIEID_017,DUNGEON_MAP_LAVAFIEID_017,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,18,44#1#4,18,None,1,FALSE,DUNGEON_MAP_LAVAFIEID_018,DUNGEON_MAP_LAVAFIEID_018,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,19,44#1#5,19,None,1,FALSE,DUNGEON_MAP_LAVAFIEID_019,DUNGEON_MAP_LAVAFIEID_019,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,20,0#0,20,None,1,FALSE,DUNGEON_MAP_LAVAFIEID_020,DUNGEON_MAP_LAVAFIEID_020,,,,,,,,ITEM_SKIN_HERO_VESPER_MECHASTORM,1,ITEM_EXCLUSIVE_AMETHYST,500,ITEM_CRYSTAL,120,ITEM_GOLD,10000000,None,0,None,0,None,0,None,0
,,,,,,,,,,21,45#1#1,1,None,2,FALSE,DUNGEON_MAP_LAVAFIEID_021,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,22,45#1#2,2,None,2,FALSE,DUNGEON_MAP_LAVAFIEID_022,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,23,45#1#3,3,None,2,FALSE,DUNGEON_MAP_LAVAFIEID_023,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,24,45#1#4,4,None,2,FALSE,DUNGEON_MAP_LAVAFIEID_024,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,25,45#1#5,5,None,2,FALSE,DUNGEON_MAP_LAVAFIEID_025,,,,,,,,,ITEM_EXCLUSIVE_WASH,10,ITEM_EXCLUSIVE_AMETHYST,800,ITEM_CRYSTAL,100,ITEM_GOLD,10000000,None,0,None,0,None,0,None,0
,,,,,,,,,,26,46#1#1,6,None,2,FALSE,DUNGEON_MAP_LAVAFIEID_026,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,27,46#1#2,7,None,2,FALSE,DUNGEON_MAP_LAVAFIEID_027,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
